ASIN,Title,Marketplace,Weight_kg,BB_avg,C_cost,m,fx_gbp_to_usd,AF,FC,SC,S_bundle,Qmin,Qmax_40,Qmax_30,Qmax_20,Qmax_15,Qmax_10,r_used,Quote_Q,Seller_ROI_%,Our_ROI_%,Margin_abs,Margin_%,Feasible,Reason
9124086843,Hunger Games Trilogy Series 3 Books Collection Set,UK,1.46056624,25.859642857142855,10.96,0.0,1.3,4.4,3.5,0.5,8.4,12.056,0,0,13.15,14.09,15.11,0.2,13.15,20.0,19.98,2.19,19.98,True,
9124191604,"Colleen Hoover Collection 2 Books Set (Hopeless, L",UK,0.57606184,18.99,8.29,0.0,1.3,3.23,3.0,0.5,6.73,9.119,0,0,9.1,9.78,10.53,0.15,9.78,15.02,17.97,1.49,17.97,True,
9124221546,City of Ghosts Series 3 Books Collection Set By Vi,US,0.63956472,39.99,10.31,0.0,1.3,6.8,4.25,7.8,18.85,11.341,0,0,14.48,15.92,17.5,0.3,11.91,30.01,15.52,1.6,15.52,True,
9124229466,Jessie Inchauspe Collection 2 Books Set (Glucose R,UK,1.23830616,33.37,16.81,0.0,1.3,5.67,3.5,0.5,9.67,18.491,0,0,18.14,19.35,20.67,0.15,19.35,14.99,15.11,2.54,15.11,True,
9124231983,Jessie Inchauspe 2 Books Collection Set (Glucose G,US,1.22923432,54.986774193548385,16.81,0.0,1.3,9.35,4.95,7.8,22.1,18.491,0,0,23.72,25.71,27.89,0.3,20.17,30.08,19.99,3.36,19.99,True,
9124233684,Dragon Ball Super Series Vol 1-5 Books Collection ,UK,0.89811216,36.99,20.23,0.0,1.3,6.29,3.0,0.5,9.79,22.253,0,0,21.04,22.38,23.84,0.15,22.38,14.98,10.63,2.15,10.63,True,
912424788X,Demon Slayer Kimetsu Academy Volume 1-5 Books Coll,UK,0.84821704,43.70428571428572,20.23,0.0,1.3,7.43,3.0,0.5,10.93,22.253,0,0,25.49,27.07,28.8,0.3,22.69,29.99,12.16,2.46,12.16,True,
912434981X,Jujutsu Kaisen Series Vol (16-20) Collection 5 Boo,US,0.907184,57.18096774193548,20.23,0.0,1.3,9.72,4.25,7.8,21.77,22.253,0,0,25.88,27.95,30.21,0.2,24.28,24.17,20.02,4.05,20.02,True,
9124350893,Jujutsu Kaisen Series (Vol. 11-20) Collection 10 B,US,1.80983208,100.99,39.11,0.0,1.3,17.17,4.95,7.8,29.92,43.021,0,0,54.24,57.9,61.89,0.3,46.93,31.41,19.99,7.82,19.99,True,
9124357294,Dragon Force Series 2 Books Collection Set (Infini,US,0.453592,33.99,6.61,0.0,1.3,5.78,4.25,7.8,17.83,7.271,0,0,10.5,11.73,13.07,0.3,7.93,31.95,19.97,1.32,19.97,True,
